Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1156491445,ArupS,0,174.85,P Jameson Taillon P German Márquez 3B Nolan Arenado SS Alex Bregman 2B Jose Altuve C Francisco Cervelli OF Whit Merrifield OF Stephen Piscotty 1B Ryan O'Hearn OF Marwin González,,Clayton Kershaw,P,37.13%,27.8
2,1156490996,maygi557 (1/2),0,159.4,P Mike Fiers P Sonny Gray OF Charlie Blackmon 3B Justin Turner OF Tyler O'Neill 2B Jose Altuve OF Mitch Haniger 1B Neil Walker SS Marwin González C Jonathan Lucroy,,Robbie Ray,P,35.86%,17.85
3,1156429867,penninop (5/7),0,151.5,P Clayton Kershaw P Wei-Yin Chen OF Khris Davis 2B Jose Altuve SS Marcus Semien 3B Matt Chapman OF Ramón Laureano OF Hernán Pérez 1B Lucas Duda C Jonathan Lucroy,,Jonathan Lucroy,C,30.80%,23
4,1156300854,glouie99,0,149.15,P Clayton Kershaw P German Márquez OF Gregory Polanco 3B Alex Bregman SS Carlos Correa 2B Neil Walker 1B Tyler White OF Marwin González OF Mark Canha C Jonathan Lucroy,,Marwin González,OF,28.69%,25
5,1156161225,Spring2650,0,148.25,P Mike Fiers P Wei-Yin Chen OF Charlie Blackmon OF Carlos González 3B Max Muncy 1B Cody Bellinger 2B Jose Altuve C Yasmani Grandal SS Marwin González OF Eric Young Jr.,,Aníbal Sánchez,P,28.27%,11.15
6,1156318236,Emac (1/7),0,145.65,P Clayton Kershaw P Robbie Ray 1B Paul Goldschmidt 3B Eduardo Escobar OF Steven Souza Jr. 2B Ketel Marte SS Marwin González OF Chad Pinder C Jonathan Lucroy OF Franmil Reyes,,Matt Chapman,3B,24.05%,11
7,1156477674,JusTryin2CashIn,0,142.65,P Jhoulys Chacín P German Márquez SS Manny Machado 3B Alex Bregman OF Cody Bellinger C Yasmani Grandal 2B Brian Dozier 1B Yuli Gurriel OF Josh Reddick OF Marwin González,,Matt Adams,1B,21.10%,2
8,1156138456,BigShotRobTX (7/7),0,140.5,P Clayton Kershaw P Wei-Yin Chen OF Charlie Blackmon OF Khris Davis SS Marcus Semien 3B Matt Chapman 1B Matt Adams OF Marwin González 2B Greg Garcia C Jonathan Lucroy,,Corey Kluber,P,20.68%,7.4
8,1156498666,maygi557 (2/2),0,140.5,P Clayton Kershaw P Wei-Yin Chen OF Tyler O'Neill OF Nelson Cruz 2B Jose Altuve OF Mitch Haniger 1B Yonder Alonso C Yan Gomes SS Marwin González 3B Hunter Dozier,,Mark Canha,OF,19.83%,5
10,1156352838,ricosauve67,0,137.25,P Mike Fiers P Wei-Yin Chen OF Christian Yelich OF Khris Davis SS Manny Machado 2B Jed Lowrie 1B Cody Bellinger 3B Matt Chapman OF Mark Canha C Jonathan Lucroy,,Logan Forsythe,2B,18.99%,5
