Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1156501138,ArupS,0,174.85,P Jameson Taillon P German Márquez 3B Nolan Arenado SS Alex Bregman 2B Jose Altuve C Francisco Cervelli OF Whit Merrifield OF Stephen Piscotty 1B Ryan O'Hearn OF Marwin González,,Clayton Kershaw,P,30.80%,27.8
2,1156408714,Keogh777 (2/7),0,164.7,P Robbie Ray P Sonny Gray 3B Justin Turner SS Manny Machado 1B Max Muncy OF Gregory Polanco OF Cody Bellinger 2B Brian Dozier OF Ramón Laureano C Jonathan Lucroy,,Jonathan Lucroy,C,22.36%,23
3,1156549848,vego07 (1/4),0,158.9,P Mike Fiers P German Márquez 1B Paul Goldschmidt 3B Justin Turner SS Manny Machado OF Stephen Piscotty OF Ramón Laureano 2B Ketel Marte OF Marwin González C Jonathan Lucroy,,Robbie Ray,P,21.94%,17.85
3,1156549918,vego07 (4/4),0,158.9,P Mike Fiers P German Márquez 1B Paul Goldschmidt 3B Justin Turner SS Manny Machado OF Stephen Piscotty OF Ramón Laureano 2B Ketel Marte OF Marwin González C Jonathan Lucroy,,Matt Adams,1B,21.94%,2
5,1156318264,Emac (3/7),0,153.5,P Clayton Kershaw P Wei-Yin Chen 3B Justin Turner 1B Max Muncy OF Cody Bellinger 2B Brian Dozier SS Ketel Marte OF Marwin González OF Jake Cave C Jonathan Lucroy,,Marwin González,SS,20.68%,25
6,1156546469,Christopher580 (5/7),0,150.6,P Wade LeBlanc P Wei-Yin Chen OF Mike Trout OF Carlos González 3B Alex Bregman 2B Jose Altuve OF Mitch Haniger 1B Yuli Gurriel SS Carlos Correa C Yan Gomes,,Matt Chapman,3B,19.41%,11
7,1156549886,vego07 (3/4),0,149.65,P Clayton Kershaw P Sonny Gray OF Nelson Cruz SS Jean Segura OF Mitch Haniger 3B Matt Chapman 1B Ryon Healy OF Mark Canha 2B Greg Garcia C Jonathan Lucroy,,Aníbal Sánchez,P,18.99%,11.15
8,1156318263,Emac (2/7),0,146.5,P Clayton Kershaw P Wei-Yin Chen 3B Justin Turner 1B Max Muncy OF Cody Bellinger 2B Brian Dozier SS Ketel Marte OF Chad Pinder OF Mark Canha C Jonathan Lucroy,,Corey Kluber,P,18.57%,7.4
9,1156419271,Keogh777 (7/7),0,145,P Aníbal Sánchez P Sonny Gray 3B Justin Turner SS Manny Machado 1B Max Muncy OF Cody Bellinger OF Melky Cabrera 2B Gleyber Torres OF Matt Adams C Jonathan Lucroy,,Marcus Semien,SS,17.30%,2
10,1156318266,Emac (5/7),0,144.65,P Clayton Kershaw P Sonny Gray 3B Justin Turner 1B Max Muncy OF Cody Bellinger 2B Brian Dozier SS Ketel Marte OF Craig Gentry C Jonathan Lucroy OF Franmil Reyes,,Charlie Blackmon,OF,16.88%,9
11,1156509710,jstraight419 (1/7),0,141.7,P Robbie Ray P Sonny Gray OF Mike Trout 1B Max Muncy 2B Jose Altuve C Yasmani Grandal 3B Matt Chapman OF Shohei Ohtani OF Mark Canha SS Greg Garcia,,Mark Canha,OF,16.03%,5
12,1156133203,BigShotRobTX (7/7),0,140.5,P Clayton Kershaw P Wei-Yin Chen OF Charlie Blackmon OF Khris Davis SS Marcus Semien 3B Matt Chapman 1B Matt Adams OF Marwin González 2B Greg Garcia C Jonathan Lucroy,,Logan Forsythe,2B,15.61%,5
13,1156429902,penninop (2/7),0,139.3,P Clayton Kershaw P Jameson Taillon OF A.J. Pollock C J.T. Realmuto OF Whit Merrifield SS Adalberto Mondesi 1B Ryan O'Hearn OF Jorge Bonifacio 2B Logan Forsythe 3B Hunter Dozier,,Cody Bellinger,OF,15.61%,3
14,1156418081,Arlowe84,0,138.5,P Clayton Kershaw P Wei-Yin Chen OF Charlie Blackmon OF Carlos González 1B Edwin Encarnacion 3B Matt Chapman OF Matt Adams 2B Logan Forsythe SS Greg Garcia C Jonathan Lucroy,,Khris Davis,OF,14.77%,0
15,1156242853,steelcityman11,0,137.5,P Clayton Kershaw P Wei-Yin Chen OF Charlie Blackmon OF Carlos González 3B Matt Chapman 1B Yonder Alonso OF Matt Adams 2B Neil Walker SS Greg Garcia C Jonathan Lucroy,,Justin Turner,3B,14.35%,14
15,1156340512,normsb,0,137.5,P Clayton Kershaw P Wei-Yin Chen OF Carlos González SS Marcus Semien 3B Matt Chapman 1B Yonder Alonso OF Stephen Piscotty 2B Neil Walker OF Trey Mancini C Jonathan Lucroy,,Stephen Piscotty,OF,13.92%,0
17,1156146301,cptnspaulding (5/7),0,135.5,P Clayton Kershaw P Wei-Yin Chen OF Nelson Cruz SS Jean Segura OF Mitch Haniger OF Max Kepler 1B Miguel Sanó 3B Kyle Seager C Mike Zunino 2B Willians Astudillo,,Wei-Yin Chen,P,13.92%,32.7
18,1156465092,ziggypool (7/7),0,134.85,P Jameson Taillon P German Márquez OF Charlie Blackmon OF Gregory Polanco C Francisco Cervelli OF Corey Dickerson 2B Gleyber Torres SS Johan Camargo 1B Josh Bell 3B Colin Moran,,Yadier Molina,C,13.92%,3
19,1156267377,jmsolano (3/7),0,132.9,P Mike Fiers P German Márquez OF Charlie Blackmon 3B Nolan Arenado SS Trevor Story 2B DJ LeMahieu OF Ramón Laureano 1B Chris Davis OF Craig Gentry C Austin Hedges,,Mike Zunino,C,13.08%,4
19,1156269812,jmsolano (7/7),0,132.9,P Mike Fiers P German Márquez OF Charlie Blackmon 3B Nolan Arenado SS Trevor Story 2B DJ LeMahieu OF Ramón Laureano 1B Chris Davis OF Craig Gentry C Austin Hedges,,Greg Garcia,2B,13.08%,8
21,1156133197,BigShotRobTX (1/7),0,131.65,P Clayton Kershaw P Robbie Ray OF Giancarlo Stanton 3B Matt Chapman 1B Matt Adams OF Stephen Piscotty SS Marwin González 2B Chad Pinder OF Mark Canha C Jonathan Lucroy,,Sonny Gray,P,13.08%,29.85
21,1156412990,Bthrane23,0,131.65,P Clayton Kershaw P Robbie Ray OF Charlie Blackmon 1B Edwin Encarnacion 3B Matt Chapman OF Matt Adams OF Marwin González 2B Logan Forsythe SS Greg Garcia C Jonathan Lucroy,,German Márquez,P,12.66%,31.35
23,1156133198,BigShotRobTX (2/7),0,130.95,P Clayton Kershaw P Aníbal Sánchez OF Giancarlo Stanton 1B Edwin Encarnacion 3B Matt Chapman SS Marwin González OF Chad Pinder OF Mark Canha 2B Logan Forsythe C Jonathan Lucroy,,Chad Pinder,2B,12.24%,13
24,1156538214,framos928 (4/4),0,130.55,P Robbie Ray P Wei-Yin Chen OF Charlie Blackmon OF Carlos González 1B Max Muncy 2B DJ LeMahieu SS Marcus Semien 3B Matt Chapman C Yadier Molina OF Mark Canha,,Yan Gomes,C,11.81%,3
25,1156400203,melmarco (2/6),0,130.5,P Justin Verlander P Clayton Kershaw 3B Kyle Seager OF Trey Mancini SS Andrelton Simmons OF Manuel Margot 2B Logan Forsythe 1B Hunter Dozier C Jonathan Lucroy OF Rosell Herrera,,Max Muncy,1B,11.81%,21
26,1156429905,penninop (5/7),0,129.65,P Clayton Kershaw P Sonny Gray 3B Alex Bregman 2B Jose Altuve OF Eddie Rosario 1B Neil Walker OF Josh Reddick C Martín Maldonado SS Marwin González OF Eric Young Jr.,,Mike Fiers,P,11.39%,24.55
27,1156387074,Christopher580 (1/7),0,129.2,P Robbie Ray P German Márquez 1B Jesús Aguilar OF Nelson Cruz SS Jean Segura OF Mitch Haniger 2B Robinson Canó OF Denard Span 3B Renato Núñez C Salvador Perez,,Nelson Cruz,OF,10.55%,6
28,1156511770,esstwokay (4/7),0,128.15,P Clayton Kershaw P German Márquez OF A.J. Pollock C Francisco Cervelli OF Steven Souza Jr. 1B Josh Bell SS Ketel Marte 2B Josh Harrison 3B Colin Moran OF Mark Canha,,Giancarlo Stanton,OF,10.13%,7
