,Name,Team,Pos,DKSaberSim,Salary,DKRoto,DKAvg,DKUncert
0,Bryce Harper,Nationals,RF,10.88,5400,10.12,10.5,0.28880000000000117
1,Mike Trout,Angels,CF,11.02,6000,11.23,11.125,0.02205000000000018
2,Matt Adams,Nationals,1B,10.37,3800,6.79,8.58,6.408199999999997
3,Nelson Cruz,Mariners,DH,10.28,5100,7.77,9.024999999999999,3.1500499999999994
4,Eddie Rosario,Twins,LF,10.2,5100,9.56,9.879999999999999,0.20479999999999923
5,Juan Soto,Nationals,LF,9.81,4600,8.03,8.92,1.584200000000002
6,Freddie Freeman,Braves,1B,9.77,5300,10.2,9.985,0.09244999999999988
7,A.J. Pollock,Diamondbacks,CF,9.77,4900,10.12,9.945,0.061249999999999874
8,Paul Goldschmidt,Diamondbacks,1B,9.72,5200,10.52,10.120000000000001,0.3199999999999992
9,Trea Turner,Nationals,SS,9.92,4600,10.03,9.975,0.006049999999999937
10,Anthony Rendon,Nationals,3B,9.61,4800,9.46,9.535,0.011249999999999786
11,Alex Bregman,Astros,3B,9.42,5500,10.18,9.8,0.28879999999999983
12,Jesus Aguilar,Brewers,1B,9.22,5100,9.23,9.225000000000001,4.999999999999787e-05
13,Manny Machado,Orioles,SS,9.22,5300,9.84,9.530000000000001,0.19219999999999954
14,Derek Dietrich,Marlins,LF,9.21,3700,7.52,8.365,1.4280500000000023
15,Jose Altuve,Astros,2B,9.14,5200,10.39,9.765,0.78125
16,Elvis Andrus,Rangers,SS,9.17,3800,9.37,9.27,0.019999999999999858
17,George Springer,Astros,CF,9.02,4800,9.79,9.405,0.29644999999999966
18,Adrian Beltre,Rangers,3B,9.01,3700,8.96,8.985,0.001249999999999947
19,Justin Upton,Angels,LF,8.85,4700,8.7,8.774999999999999,0.011250000000000053
20,Daniel Murphy,Nationals,2B,8.92,4300,8.66,8.79,0.03379999999999994
21,Ryan Braun,Brewers,1B,8.81,4400,9.29,9.05,0.11519999999999936
22,Eric Hosmer,Padres,1B,8.81,3800,9.49,9.15,0.2311999999999998
23,Niko Goodrum,Tigers,1B,8.79,3600,7.08,7.935,1.4620499999999985
24,Mitch Haniger,Mariners,RF,8.64,4600,7.46,8.05,0.6962000000000007
25,Justin Bour,Marlins,1B,8.59,3500,7.7,8.145,0.3960499999999997
26,Brian Dozier,Twins,2B,8.58,4200,9.47,9.025,0.3960500000000005
27,J.T. Realmuto,Marlins,C,8.69,4700,6.91,7.8,1.584199999999999
28,Ozzie Albies,Braves,2B,8.6,5500,8.17,8.385,0.09244999999999988
29,Wil Myers,Padres,RF,8.48,4300,7.85,8.165,0.19845000000000051
30,Kyle Seager,Mariners,3B,8.38,3800,7.87,8.125,0.13005000000000033
31,Jonathan Villar,Brewers,2B,8.51,3400,7.18,7.845,0.8844500000000001
32,Eduardo Escobar,Twins,SS,8.39,4400,7.86,8.125,0.14045000000000013
33,Delino DeShields,Rangers,CF,8.5,3800,6.84,7.67,1.3778000000000001
34,Evan Gattis,Astros,DH,8.26,4100,8.05,8.155000000000001,0.022049999999999806
35,Jean Segura,Mariners,SS,8.49,4700,7.39,7.9399999999999995,0.6050000000000006
36,Adam Jones,Orioles,CF,8.47,3500,8.99,8.73,0.13519999999999976
